id,work_area_id,description,original_amount,current_amount,approval_status,approval_date,project_phase,product,cost_basis,cost_driver,expected_cash_out,requester,zielanpassung,zielanpassung_reason,basis_description,assumptions,comments,created_at,updated_at
ci-011,wa-002,Drivetrain Transport Dolly DD-4 (x8),24000,24000,approved,2025-12-20,phase_1,overall,cost_estimation,initial_setup,2026-03,Anna Schmidt,false,,Internal estimation,"8 dollies, 500 kg capacity, lockable castors",,2025-10-25,2025-12-20
ci-012,wa-003,Battery Module Press-Fit Unit BPF-200,275000,289000,approved,2026-02-10,phase_1,atlas,initial_supplier_offer,product,2026-05,Thomas Mueller,true,Price increase due to safety enclosure upgrade,Offer ThyssenKrupp System Engineering,"Press force 200 kN, cycle time < 45s",,2025-11-08,2026-02-10
ci-013,wa-003,Thermal Paste Dispensing System TPD-1,68000,68000,approved,2026-01-22,phase_1,atlas,initial_supplier_offer,process,2026-06,,false,,Offer Nordson EFD,"Volumetric dispensing, ±2% accuracy",,2025-11-12,2026-01-22
ci-014,wa-003,Battery Pack Leak Test Station (Helium),195000,195000,open,,phase_2,vega,cost_estimation,product,2026-07,,false,,Budget estimate based on Inficon benchmark,Helium leak rate < 1×10⁻⁵ mbar·l/s,Waiting for Vega pack design freeze,2025-12-15,2025-12-15
ci-015,wa-003,HV Busbar Welding Cell (Laser),340000,355000,submitted_for_approval,,phase_2,atlas,revised_supplier_offer,product,2026-08,,true,Laser source upgrade from 3 kW to 4 kW,Revised offer TRUMPF GmbH,"4 kW fiber laser, 6-axis gantry",,2025-12-01,2026-02-20
ci-016,wa-003,Cell Module Stacking Gripper CSG-8,115000,115000,approved,2026-01-30,phase_1,vega,initial_supplier_offer,product,2026-05,,false,,Offer Schunk GmbH,"Gripper for prismatic cells, max 8 cells/cycle",,2025-11-18,2026-01-30
ci-017,wa-003,Battery Pack EOL Charge/Discharge Tester,220000,220000,on_hold,,phase_3,vega,cost_estimation,product,2026-09,,false,,Budget based on Digatron reference,"Voltage range 200-800V, 250A max",On hold pending Vega SOP confirmation,2025-12-20,2026-01-10
ci-018,wa-004,Vehicle Marriage Station VMS-2000 (Chassis-Body),420000,420000,approved,2026-02-05,phase_1,overall,initial_supplier_offer,process,2026-06,,false,,Offer Dürr Assembly Products,"2-post lift, automated bolt runner, 6 attachment points",Shared across Atlas/Orion/Vega,2025-11-01,2026-02-05
ci-019,wa-004,Windshield Setting Robot WSR-1 (Fanuc),155000,162000,submitted_for_approval,,phase_1,overall,initial_supplier_offer,process,2026-07,,true,Added vision system for quality check,Offer Fanuc Deutschland / integrator IMA,"Vision-guided, primer + adhesive application",,2025-11-25,2026-02-18
ci-020,wa-004,Conveyor Transfer System C-12 (Skid-Based),185000,185000,approved,2026-01-18,phase_1,overall,initial_supplier_offer,initial_setup,2026-05,,false,,Offer Eisenmann GmbH,"12 stations, EHB overhead conveyor, 4.5m pitch",,2025-11-05,2026-01-18
ci-021,wa-004,Door Assembly Jig DAJ-LR (Left + Right),62000,62000,approved,2026-01-10,phase_1,atlas,cost_estimation,product,2026-04,,false,,Internal cost estimation,"2 jigs (left/right), manual operation",,2025-10-28,2026-01-10
ci-022,wa-004,Fluid Fill Station (Brake + Coolant + AC),98000,103500,pending_supplier_negotiation,,phase_2,overall,revised_supplier_offer,process,2026-08,,true,AC refrigerant module added,Revised offer Dürr Somac,"3-fluid simultaneous fill, vacuum-based",Negotiation ongoing,2025-12-08,2026-02-25
ci-023,wa-005,Paint Touch-Up Booth PTB-1 (with extraction),45000,45000,approved,2026-01-15,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,,false,,Offer Junair spray booths,"Downdraft extraction, 3m x 6m booth",,2025-11-02,2026-01-15
ci-024,wa-005,Diagnostic Laptop Kit DLK-10 (x10),28000,28000,approved,2025-12-15,phase_1,overall,cost_estimation,initial_setup,2026-03,,false,,Internal estimation,10 laptops with OBD interface + software license,,2025-10-20,2025-12-15
ci-025,wa-005,Headlamp Aim Adjustment Tool HAA-2,18500,18500,approved,2026-01-08,phase_1,overall,initial_supplier_offer,process,2026-05,,false,,Offer Hella Gutmann,"Digital aimer with camera, all ECE standards",,2025-11-01,2026-01-08
ci-026,wa-005,Rework Lift Table RLT-500 (x2),14000,14800,submitted_for_approval,,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,,false,,Offer Flexlift,"2 tables, 500 kg capacity, scissor lift",,2025-11-10,2026-02-01
ci-027,wa-006,End-of-Line Tester EOL-5000 (Complete System),380000,395000,approved,2026-02-01,phase_1,overall,initial_supplier_offer,process,2026-06,,true,ADAS module scope expanded,Offer Marposs SpA,"ADAS calibration, brake test, steering, suspension check",,2025-11-01,2026-02-01
ci-028,wa-006,Roll Test Dyno Stand RD-200,195000,195000,approved,2026-01-25,phase_1,overall,initial_supplier_offer,process,2026-07,,false,,Offer MAHA GmbH,"Single roller set, max 200 km/h, 4WD capable",,2025-11-08,2026-01-25
ci-029,wa-006,Wheel Alignment System WAS-3D,72000,72000,approved,2026-01-15,phase_1,overall,initial_supplier_offer,process,2026-05,,false,,Offer Beissbarth GmbH,"3D camera-based, all models",,2025-11-05,2026-01-15
ci-030,wa-006,HV Isolation Resistance Tester HIT-1000,55000,58200,submitted_for_approval,,phase_1,atlas,revised_supplier_offer,product,2026-06,,true,Extended voltage range requested,Revised offer Megger GmbH,"Test voltage up to 1000V DC, automated reporting",,2025-11-20,2026-02-12
ci-031,wa-006,Vehicle Data Logger & Flash Station VDL-8,42000,42000,approved,2026-01-05,phase_1,overall,cost_estimation,process,2026-04,,false,,Internal estimation,"8 channels, CAN/LIN/Ethernet, OTA flash capability",,2025-10-25,2026-01-05
ci-032,wa-007,Water Ingress Test Chamber IP67,125000,125000,on_hold,,phase_3,overall,initial_supplier_offer,process,2026-08,,false,,Offer Weiss Technik,"Full vehicle chamber, rain + immersion test",Postponed to align with building readiness,2025-12-01,2026-01-20
ci-033,wa-007,"Climate Chamber -40°C to +80°C (Component)",88000,88000,open,,phase_3,overall,cost_estimation,process,2026-09,,false,,Budget estimate based on Vötsch catalog,"Walk-in chamber 3m³, ±0.5°C accuracy",,2025-12-10,2025-12-10
ci-034,wa-007,Dust Exposure Test Chamber (IP5X/IP6X),65000,68500,open,,phase_3,vega,cost_estimation,process,2026-10,,true,Added IP6X capability,Budget estimate,Fine dust + talcum powder test per IEC 60529,,2025-12-15,2026-02-05
ci-035,wa-007,Salt Spray Corrosion Cabinet SSC-1,22000,22000,approved,2026-02-08,phase_2,overall,initial_supplier_offer,process,2026-07,,false,,Offer Ascott Analytical,"ASTM B117, 1000-hour capacity",,2025-11-28,2026-02-08
ci-036,wa-008,NVH Analysis Booth (Semi-Anechoic),110000,110000,open,,phase_3,overall,cost_estimation,process,2026-09,,false,,Budget estimate based on IAC Acoustics reference,"Background noise < 20 dB(A), 5m x 5m",Design phase Q2 2026,2025-12-20,2025-12-20
ci-037,wa-008,Vibration Shaker System (Electrodynamic),85000,85000,pending_technical_clarification,,phase_4,orion,cost_estimation,product,2026-10,,false,,Budget estimate,"50 kN force, 5-2000 Hz, slip table included",Spec TBD by testing team,2026-01-05,2026-01-05
ci-038,wa-008,Acoustic Measurement Kit (B&K Microphones x12),36000,36000,approved,2026-01-28,phase_2,overall,initial_supplier_offer,initial_setup,2026-06,,false,,Offer Brüel & Kjær,12 free-field microphones + PULSE analyzer,,2025-12-01,2026-01-28
ci-039,wa-009,High-Voltage Leak Detection Unit HVLD-2,78000,78000,approved,2026-01-20,phase_1,atlas,initial_supplier_offer,product,2026-06,,false,,Offer HIOKI E.E. Corporation,"AC/DC hipot 5 kV, insulation tester, earth bond",,2025-11-15,2026-01-20
ci-040,wa-009,Battery Abuse Test Rig (Nail Pen + Crush),145000,145000,open,,phase_4,vega,cost_estimation,product,2026-11,,false,,Budget estimate based on UTAC reference,"UN38.3 + GB/T compliance, blast-proof enclosure",Required for homologation,2026-01-10,2026-01-10
ci-041,wa-009,Partial Discharge Measurement System PDM-1,52000,52000,submitted_for_approval,,phase_2,orion,initial_supplier_offer,product,2026-08,,false,,Offer Omicron Electronics,PD detection in HV cables and connectors,,2025-12-05,2026-02-10
ci-042,wa-009,HV Safety PPE Set & Emergency Shutdown Panel,15000,15000,approved,2025-12-10,phase_1,overall,cost_estimation,initial_setup,2026-03,,false,,Internal estimation,5 PPE sets (gloves/ mats/ rescue hooks) + 2 E-stop panels,,2025-10-15,2025-12-10
ci-043,wa-010,Goods-In Inspection Station GIS-2 (with scale),38000,38000,approved,2025-12-18,phase_1,overall,initial_supplier_offer,initial_setup,2026-03,,false,,Offer Mettler Toledo,"2 inspection tables, floor scale 1500 kg, barcode scanner",,2025-10-20,2025-12-18
ci-044,wa-010,Receiving Area Roller Conveyor RC-6,22000,22000,approved,2025-12-20,phase_1,overall,cost_estimation,initial_setup,2026-04,,false,,Internal estimation,"6m gravity roller, pallet width",,2025-10-22,2025-12-20
ci-045,wa-010,Label Printer & Scanning Gateway LSG-1,8500,8500,approved,2025-12-01,phase_1,overall,cost_estimation,initial_setup,2026-02,,false,,Internal estimation,Zebra thermal printer + 3 handheld scanners,,2025-10-10,2025-12-01
ci-046,wa-011,Vertical Lift Module Kardex-500 (2 units),145000,152000,approved,2026-01-25,phase_1,overall,initial_supplier_offer,process,2026-05,,true,Added WMS interface module,Offer Kardex Remstar,"2 VLMs, 500 kg/tray, 250 trays each, WMS integrated",,2025-11-05,2026-01-25
ci-047,wa-011,Kanban Supermarket Rack System KSR-24,35000,35000,approved,2026-01-10,phase_1,overall,initial_supplier_offer,process,2026-04,,false,,Offer Bito-Lagertechnik,"24 flow rack lanes, KLT 400x300 and 600x400",,2025-11-01,2026-01-10
ci-048,wa-011,Pallet Racking System (Heavy Duty/ 120 bays),62000,62000,approved,2025-12-15,phase_1,overall,initial_supplier_offer,initial_setup,2026-03,,false,,Offer Jungheinrich Racking,"120 bays, 3 levels, 1000 kg/pallet",,2025-10-25,2025-12-15
ci-049,wa-011,Returnable Packaging Set (KLT + Pallets),28000,28000,submitted_for_approval,,phase_1,overall,cost_estimation,initial_setup,2026-04,,false,,Internal estimation,"500 KLTs, 100 special pallets for battery modules",,2025-11-10,2026-02-01
ci-050,wa-012,AGV Fleet (5 units) — Jungheinrich EZS 350a,185000,185000,submitted_for_approval,,phase_2,overall,initial_supplier_offer,process,2026-07,,false,,Offer Jungheinrich Logistik,"5 AGVs, payload 1200 kg, SLAM navigation, fleet manager",Demo scheduled April 2026,2025-12-01,2026-02-15
ci-051,wa-012,Electric Tow Tractor ETT-3 (x2),32000,32000,approved,2026-01-05,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,,false,,Offer Still GmbH,"2 tractors, 3000 kg towing capacity",,2025-10-28,2026-01-05
ci-052,wa-012,Tugger Train Route Markers & Floor Guidance,8000,8000,approved,2025-12-10,phase_1,overall,cost_estimation,initial_setup,2026-03,,false,,Internal estimation,"Floor tape, magnetic strips, route signage",,2025-10-15,2025-12-10
ci-053,wa-013,Packaging Line PL-3 (Stretch Wrap + Strapping),42000,44500,approved,2026-01-30,phase_1,overall,revised_supplier_offer,process,2026-05,,true,Strapping unit upgraded to dual-head,Revised offer Mosca GmbH,Semi-auto stretch wrapper + strapping machine,,2025-11-15,2026-01-30
ci-054,wa-013,Shipping Scale & Dimension Scanner SDS-1,12000,12000,approved,2025-12-20,phase_1,overall,initial_supplier_offer,initial_setup,2026-03,,false,,Offer Mettler Toledo,Platform scale + overhead dimension scanner,,2025-10-20,2025-12-20
ci-055,wa-013,Loading Dock Leveler (Hydraulic/ 2 docks),18000,18000,approved,2025-12-22,phase_1,overall,cost_estimation,initial_setup,2026-04,,false,,Internal estimation,"2 hydraulic dock levelers, 6 ton capacity",,2025-10-18,2025-12-22
ci-056,wa-014,Busbar Power Distribution 400V (Main Hall),165000,172000,approved,2026-01-15,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,,true,Added 2 additional tap-off points,Offer Siemens Energy,"2500A busbar, 12 tap-off units, main hall",,2025-11-01,2026-01-15
ci-057,wa-014,Transformer Station 20kV/400V (800 kVA),125000,125000,approved,2025-12-20,phase_1,overall,initial_supplier_offer,initial_setup,2026-03,,false,,Offer ABB Ltd.,"Oil-cooled, outdoor installation",Utility connection approved by Stadtwerke,2025-10-15,2025-12-20
ci-058,wa-014,UPS System 60 kVA (Testing Area),38000,38000,approved,2026-01-10,phase_1,overall,initial_supplier_offer,initial_setup,2026-05,,false,,Offer Eaton Power,"Online double-conversion, 15 min battery backup",,2025-11-05,2026-01-10
ci-059,wa-014,EV Charging Infrastructure (20 AC + 4 DC),85000,89000,submitted_for_approval,,phase_2,overall,revised_supplier_offer,process,2026-06,,true,4 DC chargers added (originally AC only),Revised offer ABB E-mobility,20x 22kW AC + 4x 150kW DC fast chargers,,2025-12-01,2026-02-20
ci-060,wa-015,Central HVAC System (Assembly Hall 4000m²),195000,195000,approved,2026-02-01,phase_1,overall,initial_supplier_offer,initial_setup,2026-05,,false,,Offer Caverion GmbH,"Heating/cooling, 22±2°C, humidity control 40-60%",,2025-11-10,2026-02-01
ci-061,wa-015,"Clean Room HVAC (Battery Area, ISO 8)",78000,82000,submitted_for_approval,,phase_1,vega,initial_supplier_offer,process,2026-06,,true,Area expanded from 150m² to 200m²,Offer Trox GmbH,"ISO 8, 200m², HEPA H13 filters",,2025-11-20,2026-02-15
ci-062,wa-015,Fume Extraction System (Welding + Adhesive),42000,42000,approved,2026-01-08,phase_1,overall,cost_estimation,initial_setup,2026-04,,false,,Internal estimation,"8 extraction arms, central filter unit",,2025-10-25,2026-01-08
ci-063,wa-015,Compressed Air System 12bar (Atlas Copco GA55),68000,68000,approved,2026-01-12,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,,false,,Offer Atlas Copco Kompressoren,"55 kW screw compressor, dryer, 2000L tank",,2025-11-01,2026-01-12
ci-064,wa-016,Smoke Detection System (Aspirating/ Full Hall),48000,48000,approved,2025-12-15,phase_1,overall,initial_supplier_offer,initial_setup,2026-03,,false,,Offer Minimax GmbH,"VESDA aspirating detectors, 4500m² coverage",,2025-10-20,2025-12-15
ci-065,wa-016,Sprinkler System (Wet Pipe/ Battery Storage),72000,75000,approved,2026-01-22,phase_1,overall,revised_supplier_offer,process,2026-05,,true,FM Global required enhanced density,Revised offer Minimax GmbH,"FM Global approved, enhanced for Li-ion storage",,2025-11-08,2026-01-22
ci-066,wa-016,Emergency Lighting & Exit Signage (LED),18000,18000,approved,2025-12-10,phase_1,overall,cost_estimation,initial_setup,2026-03,,false,,Internal estimation,"120 emergency luminaires, 40 exit signs, central battery",,2025-10-15,2025-12-10
ci-067,wa-017,ESD Flooring Hall A (Epoxy/ 2500m²),95000,95000,approved,2025-12-18,phase_1,overall,initial_supplier_offer,initial_setup,2026-03,,false,,Offer Sika Deutschland,"Conductive epoxy, R < 10⁶Ω, 2500m²",,2025-10-22,2025-12-18
ci-068,wa-017,LED High-Bay Lighting (Assembly + Logistics),55000,55000,approved,2026-01-05,phase_1,overall,initial_supplier_offer,initial_setup,2026-04,,false,,Offer Trilux GmbH,"150 luminaires, 500 lux at working height, DALI dimmable",,2025-10-28,2026-01-05
ci-069,wa-017,Foundation Reinforcement (Press Area),42000,42000,approved,2025-12-05,phase_1,overall,cost_estimation,initial_setup,2026-02,,false,,Structural engineer estimation,Reinforced concrete pad for 250 kN press,,2025-10-10,2025-12-05
ci-070,wa-017,Crane Installation (5-ton overhead/ 25m span),78000,82000,pending_supplier_negotiation,,phase_2,overall,revised_supplier_offer,initial_setup,2026-06,,true,Span increased from 20m to 25m,Revised offer Demag Cranes,"5 ton SWL, 25m span, variable speed hoist",Negotiation with Demag ongoing,2025-11-15,2026-02-25
ci-071,wa-018,5-Axis CNC Center DMG Mori CMX 600V,185000,185000,approved,2026-02-05,phase_1,overall,initial_supplier_offer,initial_setup,2026-06,,false,,Offer DMG Mori Deutschland,"Travel 600x560x510mm, 15000 rpm, 24-tool magazine",Long lead item — ordered,2025-11-01,2026-02-05
ci-072,wa-018,CNC Lathe (Turning Center) Mazak QT-250,95000,95000,on_hold,,phase_3,overall,cost_estimation,initial_setup,2026-08,,false,,Budget estimate from Mazak price list,"Chuck 250mm, bar feeder option",Deferred — evaluate need in Q3,2025-12-10,2026-01-15
ci-073,wa-018,Workholding & Fixturing Kit (Modular),15000,15000,approved,2026-01-08,phase_1,overall,cost_estimation,initial_setup,2026-04,,false,,Internal estimation,"Erwin Halder modular fixturing, 5-axis compatible",,2025-11-05,2026-01-08
ci-074,wa-019,3D Printer — EOS M290 Metal (DMLS),120000,126000,submitted_for_approval,,phase_2,orion,initial_supplier_offer,initial_setup,2026-07,,true,Added titanium powder module,Offer EOS GmbH,"Build volume 250x250x325mm, AlSi10Mg + Ti6Al4V",,2025-12-01,2026-02-18
ci-075,wa-019,FDM Printer Farm (3x Stratasys F370),42000,42000,approved,2026-01-20,phase_1,overall,initial_supplier_offer,initial_setup,2026-05,,false,,Offer Stratasys GmbH,"3 printers, ABS/Nylon/PC, build 355x254x355mm",,2025-11-10,2026-01-20
ci-076,wa-019,Post-Processing Station (Bead Blast + Oven),18000,18000,approved,2026-01-15,phase_1,overall,cost_estimation,initial_setup,2026-06,,false,,Internal estimation,Bead blast cabinet + curing oven 300°C,,2025-11-08,2026-01-15
ci-077,wa-020,Coordinate Measuring Machine (Zeiss Contura),145000,145000,pending_technical_clarification,,phase_2,overall,initial_supplier_offer,initial_setup,2026-08,,false,,Offer Carl Zeiss IMT,"Measuring range 900x1200x800mm, scanning probe",Probe head selection TBD,2025-12-05,2026-02-10
ci-078,wa-020,Optical 3D Scanner (GOM ATOS Q),65000,68000,approved,2026-02-01,phase_1,overall,initial_supplier_offer,initial_setup,2026-06,,true,Turntable added to scope,Offer GOM / Zeiss,"Blue light, 12 MP, automated turntable",,2025-11-20,2026-02-01
ci-079,wa-020,Test Fixture Fabrication Bench TFB-2,12000,12000,approved,2026-01-05,phase_1,overall,cost_estimation,initial_setup,2026-04,,false,,Internal estimation,"Heavy-duty bench, vise, drill press, hand tools",,2025-10-25,2026-01-05
ci-080,wa-020,Surface Roughness & Hardness Tester Kit,8500,8500,approved,2026-01-10,phase_1,overall,cost_estimation,initial_setup,2026-05,,false,,Internal estimation,Mitutoyo portable roughness + Leeb hardness tester,,2025-11-01,2026-01-10
ci-101,wa-101,High-Speed Conveyor System HSC-5000,520000,520000,open,,phase_1,atlas,cost_estimation,process,2026-09,Georg Weis,false,,Budget estimate based on 3k Factory scaling,"5000 units/year, 60m line, servo-driven",Pending layout finalization,2026-02-01,2026-02-01
ci-102,wa-101,Robotic Welding Cell RWC-6 (6-Axis),380000,395000,submitted_for_approval,,phase_1,atlas,initial_supplier_offer,product,2026-10,Anna Schmidt,true,Added inline vision inspection,Offer ABB Robotics,"2 robots, welding + inspection, cycle time 90s",,2026-02-10,2026-03-01
ci-103,wa-102,Battery Module Assembly Station BMA-5K,450000,450000,open,,phase_1,vega,cost_estimation,product,2026-11,Thomas Mueller,false,,Scaled from 3k Factory BPF-200,"Higher throughput variant, 300 kN press force",,2026-02-15,2026-02-15
ci-104,wa-103,EOL Tester 5K-Series (High Volume),480000,480000,open,,phase_2,overall,cost_estimation,process,2026-12,Sophie Klein,false,,Budget estimate based on Marposs reference,"Dual-lane, 120 vehicles/day capacity",RFQ planned for Q2 2026,2026-02-20,2026-02-20
ci-105,wa-103,HV Safety Test Rig HST-5K,125000,125000,open,,phase_2,overall,cost_estimation,product,2026-12,Jan Hoffmann,false,,Budget estimate from HIOKI catalog,"Hipot 5kV, insulation + earth bond",,2026-02-20,2026-02-20
